Altium Designer Pick and Place Locations
\\192.168.1.200\Storragepool\Datastorrage\Projects\HighCurrent-Probe\Hardware\HighCurrent-Probe\Project Outputs for Current-Probe\Pick Place\XXX.XXXXPCB_Assy_Revision_Current-Probe.txt

========================================================================================================================
File Design Information:

Date:       10.06.24
Time:       18:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                            Layer       Footprint                            Center-X(mm) Center-Y(mm) Rotation Description                                                                              
L2         600R                               TopLayer    L_0805_N_RF                          15.7500      18.7500      180      "Ferrite Bead 600Ohm 2A 0805"                                                            
C16        "Cap 10u 0805"                     TopLayer    C-0805_2012_155_L_RF                 15.2500      21.2500      270      "Cap Cer SMD 10u 16V 10% 0805 X7R"                                                       
X5         ""                                 TopLayer    Lötpad_2x3                           10.5950      43.0000      180      "Solderpad 2mm x 3mm"                                                                    
X4         ""                                 TopLayer    Lötpad_2x3                           14.4050      43.0000      180      "Solderpad 2mm x 3mm"                                                                    
R21        "Res 0R 0603"                      TopLayer    R-0603_1608_050_L_RF                 5.2500       31.7500      180      "Res SMD 0R 0.1W 0603"                                                                   
R11        "Res 1k 0603"                      TopLayer    R-0603_1608_050_L_RF                 11.0000      17.0000      0        "Res SMD 1k 1% 0.1W 0603"                                                                
R10        "Res 1k 0603"                      TopLayer    R-0603_1608_050_L_RF                 8.5000       17.0000      180      "Res SMD 1k 1% 0.1W 0603"                                                                
R8         "Res 10k 0603"                     BottomLayer R-0603_1608_050_L_RF                 4.5000       29.7500      270      "Res SMD 10k 1% 0.1W 0603"                                                               
R7         "Res 10k 0603"                     TopLayer    R-0603_1608_050_L_RF                 4.5000       29.7500      270      "Res SMD 10k 1% 0.1W 0603"                                                               
R6         "Res 10k 0603"                     TopLayer    R-0603_1608_050_L_RF                 6.0000       29.7500      270      "Res SMD 10k 1% 0.1W 0603"                                                               
C5         "Cap 100p 0603"                    BottomLayer C-0603_1608_095_L_RF                 6.0000       29.7500      270      "Cap Cer SMD 100p 50V 5% 0603 C0G"                                                       
X3         "CONN HEADER 4POS 1ROW THT 2.54MM" TopLayer    X-0101X0025_R_FCI_77311-118-04LF     12.5000      5.5000       270      "CONN HEADER 4POS 1ROW THT 2.54MM FCI 77311-118-04LF"                                    
V2         "LED SMD 0603 Green"               BottomLayer LED-0603_1608_Green_L_RF             12.5000      16.2500      0        "LED Green LTST-C190KGKT 0603"                                                           
V1         "LED SMD 0603 Red"                 BottomLayer LED-0603_1608_Red_L_RF               12.5000      17.7500      0        "LED Red LTST-C190KRKT 0603"                                                             
U2         TC7660E                            TopLayer    SOIC8_N_RF                           20.2500      24.2500      270      "IC REG Charge Pump negative"                                                            
S1         KSC241GLFS                         BottomLayer S-0062x0062_R_P0890_C&K-KSC-241G-LFS 12.5000      12.0000      270      "Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 32VDC 1VA 300000Cycle 4N SMD T/R" 
R4         "Res 1k 0603"                      TopLayer    R-0603_1608_050_L_RF                 3.1000       14.8500      90       "Res SMD 1k 1% 0.1W 0603"                                                                
R3         "Res 1k 0603"                      TopLayer    R-0603_1608_050_L_RF                 4.4000       14.8500      270      "Res SMD 1k 1% 0.1W 0603"                                                                
R2         "Res 1k 0603"                      TopLayer    R-0603_1608_050_L_RF                 1.7500       15.0000      270      "Res SMD 1k 1% 0.1W 0603"                                                                
R13        "Res 1k 0603"                      BottomLayer R-0603_1608_050_L_RF                 9.7500       16.2500      180      "Res SMD 1k 1% 0.1W 0603"                                                                
R12        "Res 1k 0603"                      BottomLayer R-0603_1608_050_L_RF                 9.7500       17.7500      180      "Res SMD 1k 1% 0.1W 0603"                                                                
R5         "Res 1k 0603"                      BottomLayer R-0603_1608_050_L_RF                 19.5000      12.0000      90       "Res SMD 1k 1% 0.1W 0603"                                                                
